subject_id,year_in_study,record_date,activity_level,walk_frequency,walk_duration,walk_pace,walk_reason_bathroom,walk_reason_general_enjoyment,walk_reason_training,walk_reason_other_specify,walk_without_leash,aerobic_duration,aerobic_pace,aerobic_frequency,fetch_games_frequency
grls04DN2S55,0,2014-10,Very active,Once/day,30-60 minutes,Jog,1,1,1,,1,Greater than 60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls04DN2S55,1,2015-11,Moderate,Once/day,10-30 minutes,Brisk,1,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls04KX35EE,0,2012-12,Very active,More than once a day,Less than 10 minutes,Average,0,0,1,,0,,,,Frequently
grls04KX35EE,1,2013-11,Very active,Once/day,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls04KX35EE,2,2014-12,Moderate,Never,,,0,0,0,,0,,,,Occasionally
grls04O1IQ00,0,2014-11,Moderate,Once or twice/week,10-30 minutes,Average,0,0,1,,0,,,,Occasionally
grls04O1IQ00,1,2015-10,Moderate,Once or twice/week,10-30 minutes,Average,0,1,1,,0,,,,Frequently
grls04O1IQ00,2,2016-10,Very active,Once or twice/week,30-60 minutes,Brisk,0,1,1,,0,,,,Occasionally
grls053MV8EE,0,2014-01,Very active,More than once a day,Less than 10 minutes,Average,1,1,0,,1,Greater than 60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls056TCYEE,0,2014-10,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls05BPCYNN,0,2013-09,Moderate,More than once a day,30-60 minutes,Average,0,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,More than once a day,Frequently
grls05BPCYNN,1,2014-09,Moderate,Once/day,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Bursts of exercise less than 30% of the time,Once/day,Frequently
grls05BPCYNN,2,2015-09,Moderate,Never,,,0,0,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls06YF0BSS,0,2013-05,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Never
grls06YF0BSS,1,2014-02,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,Occasionally
grls06YF0BSS,2,2015-05,Moderate,More than once a day,Greater than 60 minutes,Brisk,0,1,1,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Less than once/week,Frequently
grls0762M2FF,0,2014-05,Very active,Never,,,0,0,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls0762M2FF,1,2015-05,Very active,Less than once/month,10-30 minutes,Average,1,0,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,Frequently
grls0762M2FF,2,2016-06,Moderate,Less than once/month,30-60 minutes,Average,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls08SO0S44,0,2015-01,Very active,Once/day,10-30 minutes,Brisk,0,1,0,,1,Greater than 60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls08SO0S44,1,2016-01,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls08SO0S44,2,2017-01,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls09FYB3II,0,2014-08,Very active,Once/day,10-30 minutes,Brisk,1,1,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls09FYB3II,1,2015-10,Very active,Once/day,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls09FYB3II,2,2016-10,Very active,Never,,,0,0,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls09ZIN1OO,0,2015-01,Very active,More than once a day,30-60 minutes,Average,0,1,0,,0,,,,Frequently
grls09ZIN1OO,1,2015-12,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls09ZIN1OO,2,2017-01,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls0B5181FF,0,2014-04,Moderate,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls0B5181FF,1,2015-04,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls0B5181FF,2,2016-04,Moderate,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls0BWF4BDD,0,2013-09,Moderate,Once/day,10-30 minutes,Brisk,0,1,0,,0,,,,Frequently
grls0BWF4BDD,1,2014-09,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls0BWF4BDD,2,2015-09,Moderate,Once or twice/week,30-60 minutes,Average,0,1,1,,0,,,,Frequently
grls0C1YSGAA,0,2014-11,Moderate,More than once a day,10-30 minutes,Jog,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls0C1YSGAA,1,2015-11,Moderate,Once/day,10-30 minutes,Brisk,0,1,0,,1,Less than 10 minutes,Bursts of exercise less than 30% of the time,More than once a day,Occasionally
grls0C1YSGAA,2,2016-12,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls0C4FQC88,0,2014-07,Moderate,Less than once/week,30-60 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls0C4FQC88,1,2015-08,Little,Less than once/week,30-60 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls0C4FQC88,2,2016-08,Moderate,Once or twice/week,30-60 minutes,Average,1,1,0,,1,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once/day,Occasionally
grls0CITW633,0,2013-01,Very active,Never,,,0,0,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,Frequently
grls0CSZ8WSS,0,2012-09,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls0CSZ8WSS,1,2013-12,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls0CSZ8WSS,2,2014-12,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls0CXB5W99,0,2014-11,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls0CXB5W99,1,2016-01,Moderate,Once/day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls0CXB5W99,2,2017-01,Moderate,Once/day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls0D3MFXFF,0,2014-05,Very active,Less than once/week,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls0D3MFXFF,1,2015-06,Very active,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls0D3MFXFF,2,2016-06,Moderate,Less than once/week,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls0D8TYTHH,0,2013-12,Moderate,Once or twice/week,30-60 minutes,Average,0,1,1,,0,,,,Frequently
grls0D8TYTHH,1,2015-02,Moderate,Once or twice/week,10-30 minutes,Slow,1,1,1,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Frequently
grls0D8TYTHH,2,2016-02,Moderate,Once or twice/week,30-60 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Frequently
grls0ENG5Y66,0,2013-03,Moderate,More than once a day,10-30 minutes,Brisk,1,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls0ENG5Y66,1,2014-03,Moderate,More than once a day,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls0ENG5Y66,2,2015-03,Moderate,More than once a day,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Never
grls0EZB9OCC,0,2012-09,Moderate,Once or twice/week,10-30 minutes,Average,0,1,1,,0,,,,Occasionally
grls0EZB9OCC,1,2013-09,Moderate,Once or twice/week,10-30 minutes,Average,1,1,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Less than once/week,Frequently
grls0EZB9OCC,2,2014-09,Moderate,Never,,,0,0,0,,1,30-60 minutes,Bursts of exercise less than 30% of the time,Less than once/week,Occasionally
grls0F3UPZPP,0,2014-07,Moderate,More than once a day,30-60 minutes,Brisk,0,1,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls0F3UPZPP,1,2015-10,Moderate,Once/day,30-60 minutes,Brisk,0,1,0,,1,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once/day,Never
grls0F3UPZPP,2,2016-08,Moderate,Once/day,30-60 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls0FZYUVOO,0,2014-11,Moderate,Once or twice/week,30-60 minutes,Brisk,0,0,1,,1,30-60 minutes,Bursts of exercise less than 30% of the time,More than once a day,Frequently
grls0FZYUVOO,1,2015-12,Very active,Less than once/week,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,More than once a day,Occasionally
grls0FZYUVOO,2,2016-11,Very active,Once or twice/week,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,More than once a day,Occasionally
grls0G7VYQ55,0,2013-02,Moderate,More than once a day,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls0G7VYQ55,1,2013-12,Moderate,More than once a day,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls0G8MGTOO,0,2012-12,Moderate,Once or twice/week,10-30 minutes,Brisk,1,1,1,,1,10-30 minutes,Bursts of exercise less than 30% of the time,More than once a day,Frequently
grls0G8MGTOO,1,2014-02,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Frequently
grls0G8MGTOO,2,2014-12,Moderate,Less than once/week,10-30 minutes,Brisk,0,1,0,,1,30-60 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Frequently
grls0HAV8G99,0,2014-06,Moderate,Less than once/month,Less than 10 minutes,Average,0,0,1,,0,,,,Occasionally
grls0HAV8G99,1,2015-07,Moderate,Less than once/month,Less than 10 minutes,Average,1,1,1,,1,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Occasionally
grls0HAV8G99,2,2016-07,Little,Less than once/week,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls0HJ94YAA,0,2014-03,Moderate,Less than once/week,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls0HJ94YAA,1,2015-03,Moderate,Once or twice/week,30-60 minutes,Average,0,1,0,,0,,,,Occasionally
grls0HJ94YAA,2,2016-04,Moderate,Once or twice/week,30-60 minutes,Average,0,1,0,,0,,,,Occasionally
grls0IBIS0GG,0,2012-06,Very active,Once or twice/week,30-60 minutes,Brisk,0,1,0,,0,,,,Never
grls0IBIS0GG,1,2013-11,Very active,Once or twice/week,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls0IBIS0GG,2,2014-06,Very active,Once or twice/week,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls0ITPHYFF,0,2014-04,Moderate,More than once a day,10-30 minutes,Average,0,1,1,,1,Less than 10 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls0LSLKO,0,2013-03,Very active,Once/day,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls0LSLKO,1,2014-06,Very active,Once/day,Less than 10 minutes,Slow,0,0,1,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls0LSLKO,2,2015-06,Very active,Once or twice/week,10-30 minutes,Average,0,0,1,,0,,,,Frequently
grls0LUXUMTT,0,2012-11,Very active,Less than once/month,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls0LUXUMTT,1,2014-02,Very active,Less than once/month,30-60 minutes,Average,0,0,0,pet therapy,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls0LUXUMTT,2,2015-01,Very active,Once or twice/week,30-60 minutes,Brisk,0,0,1,,0,,,,Occasionally
grls0MWS6OMM,0,2013-09,Very active,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls0MWS6OMM,1,2014-09,Moderate,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls0MWS6OMM,2,2015-09,Moderate,Less than once/week,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls0N6CMARR,0,2012-09,Very active,Once/day,10-30 minutes,Average,0,1,1,,1,Less than 10 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls0N6CMARR,1,2013-08,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls0N6CMARR,2,2014-11,Very active,Once/day,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls0NOGYCWW,0,2013-12,Moderate,Once/day,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls0NOGYCWW,1,2014-12,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Occasionally
grls0NOGYCWW,2,2016-01,Moderate,Once/day,30-60 minutes,Average,0,1,0,,0,,,,Frequently
grls0O6N06KK,0,2014-07,Moderate,More than once a day,10-30 minutes,Average,1,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls0O6N06KK,1,2015-07,Very active,More than once a day,10-30 minutes,Average,1,0,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls0O6N06KK,2,2016-07,Moderate,More than once a day,10-30 minutes,Average,1,1,0,,0,,,,Occasionally
grls0ODDD7QQ,0,2013-01,Very active,More than once a day,Greater than 60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls0ODDD7QQ,1,2014-03,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls0ODDD7QQ,2,2015-04,Very active,More than once a day,Greater than 60 minutes,Brisk,1,1,0,,0,,,,Occasionally
grls0OENGRDD,0,2014-06,Moderate,More than once a day,10-30 minutes,Average,1,1,1,,0,,,,Occasionally
grls0OENGRDD,1,2015-04,Moderate,More than once a day,10-30 minutes,Brisk,1,1,1,,0,,,,Frequently
grls0OENGRDD,2,2016-04,Moderate,More than once a day,10-30 minutes,Average,1,1,0,,0,,,,Occasionally
grls0OGJIE22,0,2013-11,Very active,Once or twice/week,10-30 minutes,Average,0,0,1,,0,,,,Occasionally
grls0OGJIE22,1,2014-12,Moderate,Once/day,30-60 minutes,Average,0,0,1,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Occasionally
grls0OGJIE22,2,2015-12,Moderate,Once or twice/week,30-60 minutes,Average,0,0,1,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls0PXYZ6BB,0,2014-04,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls0PXYZ6BB,1,2015-04,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls0PXYZ6BB,2,2016-03,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls0QDSCTT,0,2014-01,Very active,Once or twice/week,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls0QDSCTT,1,2015-01,Very active,Once or twice/week,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls0QDSCTT,2,2016-01,Very active,Once/day,10-30 minutes,Brisk,0,1,0,,0,,,,Frequently
grls0R37Y2WW,0,2013-10,Very active,Once or twice/week,10-30 minutes,Average,0,1,1,,0,,,,Frequently
grls0R37Y2WW,1,2014-11,Very active,Less than once/month,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls0R37Y2WW,2,2015-11,Very active,Less than once/month,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls0RIBHKKK,0,2014-04,Very active,Less than once/week,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls0RIBHKKK,1,2016-02,Moderate,Less than once/week,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls0RIBHKKK,2,2017-02,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,Frequently
grls0SITE9YY,0,2013-11,Moderate,More than once a day,10-30 minutes,Brisk,1,1,1,,0,,,,Occasionally
grls0SITE9YY,1,2015-01,Moderate,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls0SITE9YY,2,2015-12,Moderate,More than once a day,30-60 minutes,Brisk,1,1,1,,1,Less than 10 minutes,Bursts of exercise less than 30% of the time,More than once a day,Frequently
grls0T3Z16YY,0,2014-08,Moderate,Less than once/week,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls0T3Z16YY,2,2016-09,Little,Less than once/month,Less than 10 minutes,Slow,0,1,0,,0,,,,Frequently
grls0TA2I2SS,0,2014-09,Very active,Once/day,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls0TA2I2SS,1,2015-08,Moderate,Once/day,10-30 minutes,Average,0,1,0,,1,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Occasionally
grls0TA2I2SS,2,2016-11,Moderate,Once/day,10-30 minutes,Average,0,1,0,,1,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Occasionally
grls0TAMSHFF,0,2014-02,Moderate,More than once a day,Greater than 60 minutes,Average,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls0TAMSHFF,1,2015-03,Very active,More than once a day,Greater than 60 minutes,Run,0,1,0,,1,Greater than 60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls0TAMSHFF,2,2016-03,Very active,More than once a day,Greater than 60 minutes,Run,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls0U11TOTT,0,2014-10,Moderate,More than once a day,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls0U11TOTT,1,2016-01,Moderate,Once or twice/week,10-30 minutes,Brisk,0,0,1,,1,Less than 10 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Occasionally
grls0U11TOTT,2,2017-01,Very active,Once/day,Less than 10 minutes,Brisk,0,0,1,,0,,,,Frequently
grls0V9DN9FF,0,2014-01,Very active,More than once a day,Greater than 60 minutes,Brisk,0,0,1,,1,30-60 minutes,Bursts of exercise less than 30% of the time,Once/day,Frequently
grls0V9DN9FF,1,2015-01,Moderate,Once/day,30-60 minutes,Brisk,0,0,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls0V9DN9FF,2,2016-02,Moderate,Once or twice/week,30-60 minutes,Average,0,0,1,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Frequently
grls0VMC6E66,0,2013-07,Moderate,Once/day,30-60 minutes,Average,0,1,0,,0,,,,Occasionally
grls0VMC6E66,2,2015-07,Little,Once/day,10-30 minutes,Slow,1,0,0,,0,,,,Occasionally
grls0VWS5ZPP,0,2014-05,Moderate,More than once a day,10-30 minutes,Average,1,1,1,,1,Greater than 60 minutes,Bursts of exercise less than 30% of the time,Once/day,Occasionally
grls0VWS5ZPP,1,2015-08,Moderate,Once/day,10-30 minutes,Average,1,1,1,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once/day,Occasionally
grls0VWS5ZPP,2,2016-05,Very active,More than once a day,10-30 minutes,Average,1,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls0WE9G899,0,2013-07,Very active,Once/day,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls0WE9G899,2,2015-07,Very active,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls0WMXEHYY,0,2013-01,Moderate,More than once a day,30-60 minutes,Average,1,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
